id;time;x;y;z
1475;1708636137024;-0.06550352;0.34307095;9.915857
1476;1708636137225;-0.06759724;0.34277186;9.915258
1477;1708636137421;-0.06610172;0.34426737;9.913763
1478;1708636137620;-0.064905316;0.34516466;9.917651
1479;1708636137821;-0.06849455;0.34307095;9.91167
1480;1708636138023;-0.06430711;0.3475575;9.91825
1481;1708636138223;-0.06819545;0.34456646;9.917053
1482;1708636138420;-0.06969096;0.34606197;9.916755
1483;1708636138620;-0.029910283;0.28893334;9.943673
1484;1708636138823;0.13758731;0.0044865427;9.895817
1485;1708636139020;0.0029910284;-0.27367908;10.942976
1486;1708636139220;-0.2862414;0.46091747;10.746466
1487;1708636139421;1.2493526;1.5771692;9.660124
1488;1708636139619;3.269493;0.6358926;9.185747
1489;1708636139821;-3.234498;1.4087744;6.873383
1490;1708636140024;1.8107685;0.9837492;16.310974
1491;1708636140219;3.2180474;-1.3722838;9.650852
1492;1708636140422;-5.1738806;-1.3360924;9.712767
1493;1708636140622;-4.5065823;1.4204394;18.423239
1494;1708636140819;-2.376073;-0.9089735;6.550651
1495;1708636141022;-5.829514;0.28414768;9.882956
1496;1708636141221;6.5171514;-0.4447659;17.777176
1497;1708636141420;-7.405786;-2.885445;4.817051
1498;1708636141620;-3.2715867;0.24077778;20.927029
1499;1708636141820;-4.4195433;-2.9503503;4.0534415
1500;1708636142019;-5.0458646;-0.9314062;14.700306
1501;1708636142218;-0.012562319;-1.3112668;11.79512
1502;1708636142422;-6.809375;-1.9701903;7.5047894
1503;1708636142619;-1.1452647;-1.0710872;17.51606
1504;1708636142820;-6.103791;-3.0487552;5.270491
1505;1708636143021;-2.7418756;0.34576288;18.045471
1506;1708636143219;-4.2092743;-2.9165516;5.569893
1507;1708636143419;-4.2870407;-0.29970104;17.703598
1508;1708636143618;-3.71396;-3.2425737;6.897311
1509;1708636143818;-5.986244;-0.6729814;16.12553
1510;1708636144018;-4.028317;-2.678765;6.285945
1511;1708636144219;-5.2630134;-1.1907284;15.183357
1512;1708636144418;-1.7003996;-2.4014966;8.019844
1513;1708636144619;-9.117552;-1.7324036;12.606586
1514;1708636144818;-1.9211375;0.19292133;8.643474
1515;1708636145019;-4.1754756;1.5915262;8.0455675
1516;1708636145220;-0.50129634;0.10827523;10.931012
1517;1708636145420;0.0041874396;-0.9194421;11.093125
1518;1708636145619;0.09212367;-0.9236295;9.985548
1519;1708636145819;0.26261228;-0.73459655;9.769596
1520;1708636146021;0.026620151;0.45583272;10.095618
1521;1708636146217;-0.051445685;0.3394817;9.924232
